DATE,MATCH,BET,ODDS,STAKE,RESULT,RETURN,STARTING BALANCE
2026-07-29,Instituto (Córdoba) vs Platense (Argentine LPF),Instituto (Córdoba) to win,2.05,3.00,,,100.00
2026-07-29,"Cienciano del Cusco vs Lanús (CONMEBOL Sudamericana, Knockout Round Playoffs)",Cienciano del Cusco to win,2.20,2.91,,,97.00
2026-07-29,Utah Royals vs Washington Spirit (NWSL),Utah Royals to win,2.55,1.88,,,94.09
2026-07-29,Forward Madison FC vs Chattanooga Red Wolves (USL League One),Forward Madison FC to win,2.00,1.84,,,92.21
2026-07-30,"PAOK vs Dynamo Kyiv (UEL Qualifying, Second Round)",PAOK to win,1.80,2.70,,,90.00
2026-07-30,"Pafos vs Hajduk Split (UEL Qualifying, Second Round)",Pafos to win,1.80,2.62,,,87.30
2026-07-30,"FC Midtjylland vs Besiktas (UEL Qualifying, Second Round)",FC Midtjylland to win,1.95,2.54,,,84.68
2026-07-30,"Anderlecht vs Hammarby IF (UEL Qualifying, Second Round)",Anderlecht to win,2.15,1.64,,,82.14
2026-07-30,"FC Ilves vs Stjarnan (UECL Qualifying, Second Round)",FC Ilves to win,1.67,1.61,,,80.50
2026-07-31,Dundee United vs Rangers (SPFL Premiership),Dundee United to win,5.50,2.37,,,78.89
2026-07-31,Atlético de San Luis vs Tijuana (Liga MX),Tijuana to win,2.90,2.30,,,76.52
2026-07-31,Club Atlético La Paz vs Durango (Liga de Expansión MX),Durango to win,3.10,1.48,,,74.22

